userName,score,at,content
Botol KecapS Tech,1,2023-07-07 16:40:45,Perijinannya serem
bila,5,2023-07-07 16:36:29,gatau lucu aja
Mybe Ku,5,2023-07-07 16:36:28,"Cuman tinggal peningkatan lg, maklum masih baru"
Rafif Ahmad,5,2023-07-07 16:36:17,Bug banyak cuyy
Sari Wirahmadani,1,2023-07-07 16:35:00,Aplikasi sering keluar sendiri
Herkulanus Andrew,5,2023-07-07 16:34:29,Lebih seru daripada Twitter Lebih kece daripada Twitter Sangat semru daripada Twitter
munir.choerul,5,2023-07-07 16:34:26,"lebih seru , lebih gampang menemukan teman"
nindi salsabila,1,2023-07-07 16:30:30,"gabisa liat following, error terus"
Samuel Gamers,5,2023-07-07 16:29:55,"Sangat bagus, semoga tambah baik lagi"
Haidar Mukti,3,2023-07-07 16:29:19,Saat scrool komen jika pemilik akun membalas utasnya sendiri sering keluar sendiri
Rangga,3,2023-07-07 16:28:27,"Masih ada beberapa fitur yg belum ada seperti simpan gambar, translate,dll"
Jihan Swailim,1,2023-07-07 16:28:06,"punyaku masih sangat error kyak ketimpa² gitu,jd belom bisa digunakan"
PERDI MULYANA,1,2023-07-07 16:26:42,"Hati hati !! mark bakalan jual data kaya facebook dulu, gila gua kaget data yang di minta banyak banget, .."
Mohammad Sakti12,3,2023-07-07 16:24:54,Terjadi bug saat memakai mode gelap mohon di perbaiki. Dan mohon di tambahkan mode gelap di aplikasi sendiri biar GK silau
Ardiansyah pongolingo,5,2023-07-07 16:23:02,kerenn bgt sukakkkkkkk
Rizki Fadilah N.I,1,2023-07-07 16:20:37,"Download ni apk cuma penasaran aja, palingan nanti balik lagi ke twitter Edit : Mataku silau melihat tampilan putihnya antarmuka alias gada mode gelap"
Laily fathya Agnadien,5,2023-07-07 16:20:13,Bagus cuman kadang rada ngelag tapi gpp sih wajar soal nya baru
Jeffry Sufianda,1,2023-07-07 16:17:06,"Apaan dah nih apk, zucc nya ga ngotak kayak standar komunitas facebook."
Mahmud Abbas,5,2023-07-07 16:16:58,"Aplikasinya bagus. tapi harus ditambahkan fitur dark mode, kirim pesan secara pribadi dengan teman, dan satu lagi tolong di update agar support di browser atau desktop komputer. Kan ada beberapa orang yang belum punya handphone"
Purnomo Ajah,1,2023-07-07 16:16:04,gtw
HAFID 1140,5,2023-07-07 16:14:25,Gokill mantap aplikasi nya 🔥
Abu Hallo,3,2023-07-07 16:14:19,Mode gelap tong diadakan
Ridhoapm_,5,2023-07-07 16:14:06,🙌
Muhmmad Ekyy01,5,2023-07-07 16:10:37,Bagus
Reval psik,5,2023-07-07 16:09:48,Bagus
AndraWbD,1,2023-07-07 16:07:18,gimana cara hapus akun tott
Rizki Sinaga,5,2023-07-07 16:06:12,Untuk aplikasinya lumayan bagus
Mujahid Ghiza,5,2023-07-07 16:05:48,Gw kasi bintang 5 walaupun blm ngerti
Bersyukur Hope,1,2023-07-07 16:04:24,Belum bisa di pakai di scroll msh banyak bugny dan tidak kelihatan - tolong diperbaiki lagi
Salman Al farisi,5,2023-07-07 16:02:24,Gak nyangka sebagus ini apk nya untuk developer mohon dikembangkan lagi ya supaya bisa lebih seru disini tuh ngobrol bisa mutualan juga bisa seru banget lagi
ム刀りリ乇ᄊの尺リ,5,2023-07-07 16:01:04,Ni apk buat apa sih sbnernya cok ? Apa keunggulanya
Anky,2,2023-07-07 16:00:24,"Aplikasi bagus, sayang saya sedikit ada masalah ketika meng-upload foto, selalu crash. Mohon diperbaiki"
Testi Kaos distro,2,2023-07-07 15:59:46,Masih suka error
Iwan Gelek121,5,2023-07-07 15:57:57,Ga ada sih bagus
Adwiitama Assegaf,1,2023-07-07 15:57:13,"Diandro ngebug, tulisan ketimpah timpah gajelas wkwkw"
Emrozi,1,2023-07-07 15:57:08,Pas di scroll tampilan jadi tumpang tindih
ADIS SETIAWAN,5,2023-07-07 15:56:23,Udah bagus.. Tapi update berikutnya di tambahin mode gelap lebih keren 👍
Ikko Lestari,4,2023-07-07 15:55:36,Kenapa ya tiap mau scroll kebawah pasti tulisan nya pada blur kaya gak jelas gitu
Revio,1,2023-07-07 15:54:59,"Tolong perbaiki!!, Aplikasi threads saya mendapatkan masalah yakni bug bertumpuk, saya harap Meta dapat memperbaiki dan mengoptimalkan lagi app-nya"
Rahmat Sidi,5,2023-07-07 15:54:03,"Aplikasi yang sangat keren, fiturnya lebih lengkap dibandingkan aplikasi tetangga sebelah. Bismillah, iPhone dan MacBook Pro."
AGNES SITOMPUL,1,2023-07-07 15:53:37,Bad app
Mahendra De,1,2023-07-07 15:53:12,Usernya pindahan twittard cuy pada sok elit
Mohamad Faisal Jaelani,4,2023-07-07 15:50:15,"Threads udh bagus, tapi masih ada bug seperti suka force close atau keluar sendiri dari Threads nya. Mungkin di update selanjutnya bisa di benahi.... semoga aja secepatnya dibenahi soalnya ini aplikasi keren bgt"
Intann Sosmed,3,2023-07-07 15:49:22,"tolong perbanyak fitur baru, seperti bisa login beberapa akun, terus fitur notifikasi nya jga di bedain biar ga campur mana yang sudah di follow atau belum🙏🏻"
imma m,1,2023-07-07 15:49:20,apa pecah klo dibuka gambarnya
ul az,5,2023-07-07 15:49:15,😍
Novella Sekar,3,2023-07-07 15:46:34,suka ngebug anjay
Maulana Ahmad Sofi,5,2023-07-07 15:45:39,Keren
Ikhwan Yasin P,1,2023-07-07 15:43:58,bau kaki
Didik P,5,2023-07-07 15:42:07,Ditingkatin lagi
Pialadunua Pernopan,5,2023-07-07 15:41:09,Pengganti apk sebelah
Muhammad Izzaul Haque,3,2023-07-07 15:38:28,"Bintang 3 dulu, kalau bagus keknya ntar update. Kalau ndak lupa..."
Sudarman Amar,5,2023-07-07 15:37:55,Saya suka saya suka 😅
C-9C Gede Valendra,5,2023-07-07 15:37:12,"Di hp gw aman-aman aja tuh ga ada bug, mode gelap juga, aman~"
Zambil Adam,5,2023-07-07 15:35:26,End game
Rahmat Hidayat,5,2023-07-07 15:32:15,Gg
Ilham Fajrin,5,2023-07-07 15:31:35,Kasian twitter
Asiyah 2k4,3,2023-07-07 15:31:19,Tambahin fitur terjemahan otomatis dong biar makin manteppp
sahril Aja,4,2023-07-07 15:30:06,"Saat ini masih berfungsi dengan baik bintang 4 dulu jika aplikasi nya ditambah beberapa fitur seperti edit komentar, dan menambahkan lokasi baru saya tambahkan bintang 5"
oziel chaps,3,2023-07-07 15:27:45,It's good but if you can provide trending features
Boy Akbar,4,2023-07-07 15:27:25,Good application. I hope the developer will give the best
jaembut jaem,1,2023-07-07 15:26:39,kenapa gak bisa bikin akun? inimah harus pake akun ig apa apaan? klo orang mau jadi teroris gimana dong? skip👎👎👎👎 tidak teroris friendly
Sodik Ra,5,2023-07-07 15:25:16,Ngehasilin uang ga Ni? Mayan lah follow baru buat akun naik 125k padahal gua rakyat bisa
diva nurfebriyanti,3,2023-07-07 15:24:58,ini lag terus kenapa yaaa?
WIROSABLENG 212,1,2023-07-07 15:24:25,Burik
Nanda Arifando,5,2023-07-07 15:24:03,Keren
Christopher Alfiano,1,2023-07-07 15:23:25,"Terlalu monoton dan kembali nostalgia ke jaman awal facebook terbentuk. Sudah gitu nagih hutang , akun langsung di banned , lebih baik twitter deh"
Allysta_ 07,5,2023-07-07 15:23:21,Ga bisa pake hastag :v
wildan,3,2023-07-07 15:22:56,cara balikin lencana yang disembunyikan gimana?
Irwan Nur,5,2023-07-07 15:21:33,Bagus
Ahmad fatih,5,2023-07-07 15:15:01,Keren sih untuk menyanyingi Twitter sih
vicki arianto,5,2023-07-07 15:14:02,Tolong tambahin bisa save foto donkkk
arthawijaya management,1,2023-07-07 15:13:06,aplikasinya suka ngebug gitu min tolong
Aldi Nur Saputra,4,2023-07-07 15:12:53,Tolong tambahkan fitur edit ketika ingin mengupload media. Ketika saya ingin mengupload foto dan perlu ditambahakan kata-kata atau sticker maupun memotong ukuran foto itu belum tersedia. Jadi harus mengubahnya/menambahkan di luar aplikasi ini.
Kak Andri299,5,2023-07-07 15:11:57,Suka aku karna hemat kuota
Danang Setiaji,1,2023-07-07 15:11:17,patah patah
Hery Daiki Kazuya,4,2023-07-07 15:10:15,Tambahkan Translate dong
suhohyung,2,2023-07-07 15:07:03,"saat memosting foto banyak sekaligus, aplikasi tiba tiba keluar sendiri, dengan tulisan ""threads telah berhenti"". mohon untuk pihak aplikasi segera memperbaiki, terimakasih 🙏"
Efendi Id,1,2023-07-07 15:04:01,Kerang
Indriana Santi,3,2023-07-07 15:01:39,"bagus sih, tapi masa udah eror"
Grace Lazarosana,1,2023-07-07 14:59:55,Tampilannya nge bug 😭
Sik Lanang Iki,5,2023-07-07 14:58:37,I was already download for this application yesterday so my opinion is running smoothly let's see on future this application is useful or insightful
Mega Tubs,5,2023-07-07 14:56:50,Bagus
walaupun kita tak akan rumah sakit kepala daerah,5,2023-07-07 14:56:08,Muti
KnTL's_Cr4ck . ID,3,2023-07-07 14:55:25,Dark mode benerin
Andree,5,2023-07-07 14:51:28,Bagus ...
Mas “Mas Breng” Breng,5,2023-07-07 14:50:41,Nostalgia jaman awal Twitter
Luluk Ayu Andrea,1,2023-07-07 14:50:30,INSTAGRAM SAYA TIDAK BISA DIBUKA GARAGARA APK INI👎
Dian di,4,2023-07-07 14:50:09,"aku sembunyiin lencana di bio IG, ehhh gak bisa kembalikan lg"
muhammad duta,5,2023-07-07 14:48:43,Apk ini bagus
Theorema Fosheca,1,2023-07-07 14:48:28,"I can't revert to out of sync. And cannot be edited after syncing, just only edit in Instagram"
King The OFF Ngendok,5,2023-07-07 14:48:01,Thank you
Lae Acu,5,2023-07-07 14:47:47,Hp lu semua jelek yg ngasih bintang 1
Zaeni Ahmad,5,2023-07-07 14:47:30,"Tambahkan fitur voice group, hashtag, kirim gif, serta percantik User Interfacenya, dibuat warna, jangan hitam putih ah, gelep"
Ananda Bagus Dwi Islamy,3,2023-07-07 14:46:42,"Tolong perbaiki bug helcurt, ultinya ngebug, thnk"
Puji Lestari,1,2023-07-07 14:45:57,"Appnya belom sempurna kali ya? Atau emg masa percobaan? Patah"" Masaaa"
Rifqi Frh,5,2023-07-07 14:45:02,Mantap
Jessica Grace,2,2023-07-07 14:44:48,"Saran bagus saya adalah bisa menambahkan beberapa akun untuk seharusnya bisa membawa jangkau banyak orang. Tapi sayangnya, tetap saya kasih bintang 2 dulu untuk sementara karena baru pertama kali saya pakai Threads ini dan akunnya juga tolong ditambahkan lagi sebagai multiply akun harus yang banyak yaaa.....Terima kasih untuk ulasan dari saya~"
henzy me,1,2023-07-07 14:44:20,I think log in maked new akun don't use Instagram login.
Nurma Yanti,1,2023-07-07 14:42:52,Plisss gua gbsa login ig gua gimana sih huaaaaaaaa😭
Fuuka Jirou,4,2023-07-07 14:40:55,tolong tambahkan fitur simpan gambar dan translate
Yusup Bekti Dwi Sanjaya,1,2023-07-07 14:35:22,"Tulisannya bayang"""
Gung Ajus,1,2023-07-07 14:35:20,"Baru buka malah ngebug, teksnya jadi double"
Munirah Syam,3,2023-07-07 14:32:55,Kok nge bug apa berpengaruh sama hp kentang?
Rolan Zet,3,2023-07-07 14:32:53,"Kaish fitur dm,edit,album foto dong"
Juli Saputra,1,2023-07-07 14:31:56,Ok
M Tahir saputra,4,2023-07-07 14:31:09,"Sejauh ini cukup bagus tapi saranku mungkin bisa di tambahkan juga di pusat akun meta jadi bisa auto posting di 3 aplikasi sekaligus IG, Facebook, Threads Dan aplikasi ini belum tersedia mode gelap, jadi mungkin bisa di tambahkan, dan juga foto belum bisa di simpan atau di download secara langsung, serta masih ada beberapa bug yang munkin harus di perbaiki, itu saran dari saya sebagai user"
aniq regita putri alifa,2,2023-07-07 14:30:37,Tolong diperbaiki dong membatasi aktifitas tertentu kok ke gitu akun thread gue ga sebagus instagram sama tiktok
Muhammad Ardiansyah,1,2023-07-07 14:28:14,Very bad
Chofifa Dita Rokhmawati,1,2023-07-07 14:27:41,Bug bgttt
Anta maulana,1,2023-07-07 14:27:14,Banyak bug
jgnth_96,3,2023-07-07 14:26:31,"Dark mode bug in android,please fix it"
Nurul Aini,1,2023-07-07 14:22:44,Enakan twt
Dede Ridwan,1,2023-07-07 14:20:34,APA SII NGIKUT2 TWITTER LU!
Aditya Yoga Pratama,1,2023-07-07 14:20:24,G bisa di scroll..
Adib Abbiya Qowiyyudin,4,2023-07-07 14:20:05,Sejak trending langsung download Semoga lancar
Kadek Dimas,1,2023-07-07 14:19:23,privacy tidak terjaga dengan baik
Ilham Riandra,4,2023-07-07 14:17:55,Foto nya blm bisa diperbesar
Sonya Pardede,5,2023-07-07 14:17:53,Seruuu woe whahaha
LUTHFY A A,5,2023-07-07 14:16:47,Easy to use this apps don't need registered cuz linked with Instagram account. So far good. Thanks to the creator and team. Congratulations
ZairinVikri,5,2023-07-07 14:14:55,Hehe nice om zuck
ustadz ice bear,4,2023-07-07 14:14:38,"buat yang ngebug,jgn pake mode gelap yaa"
Riky Ripaldo,4,2023-07-07 14:13:58,Testing dlu
zamzami al zikra,1,2023-07-07 14:13:15,Layar nya bug dan ngelag banget
RCK,1,2023-07-07 14:09:21,"please fix bugs that are a lot and quite annoying, and update them so there are features dark mode."
Adelia Sekar Pinasti,1,2023-07-07 14:09:08,"msh ada bug jadi bikin patah"", teks saling tumpuk"
MU ZAZIN,5,2023-07-07 14:06:56,Ok
rashelda zahra,1,2023-07-07 14:05:41,"Tolong jangan di jadikan satu notifnya, jadi susah lihat siapa yang belum ke follback"
rafi 9680,5,2023-07-07 14:05:33,"Bagus sih , lebih simple dan mudah digunakan"
Ahmad Ismail Ridho,5,2023-07-07 14:05:06,"First impression enak sih nyaman, ditunggu update selanjutnya"
Nelsen Handaka,5,2023-07-07 14:04:17,Mantap
Irham Adzani,5,2023-07-07 14:03:13,Keren
aris hend,4,2023-07-07 14:03:10,Ok
Raihan,1,2023-07-07 14:02:49,Bug
Mail Ganteng,1,2023-07-07 14:02:05,Apk gajelas
Sauzan Dewi Kirani,5,2023-07-07 14:01:15,"bagus, bakal ada au di threads ga ya WKWK"
OisGrame,3,2023-07-07 14:00:38,"Lumayan, hanya saja. Banyak perizinan yang diminta"
Mawan 17,4,2023-07-07 13:58:33,Kenapa ketika saya membuka aplikasi Threads tulisan yang ada didalamnya itu crash semua?
WHy SKy,1,2023-07-07 13:58:17,apk tolol
FITRI YANTI Seribandung,5,2023-07-07 13:58:08,❤️
Aufa Radiansyah,4,2023-07-07 13:57:59,❤️
Hilman Madani,5,2023-07-07 13:57:14,Kalian napa sih pakek kasih bintang 1 wajarlah banyak bug namanya jga awal liris yakali langsung sempurna kaya kamu hehe
SHADOW FF,1,2023-07-07 13:56:34,Login gmna
awak angga,1,2023-07-07 13:56:27,"Masih Nge bug , tolong segera di perbaiki"
Tarro yy.,1,2023-07-07 13:54:55,Biasanya kalo di kasih bintang 1
Dafa Rahmanda Putra,5,2023-07-07 13:54:31,guud bgt
Yahya Latif Maulana,1,2023-07-07 13:53:03,"bug parah, masa baru login layar tampilannya di scroll jadi ancur gitu"
Asep Tarman Hidayat,5,2023-07-07 13:52:53,Mantap
SOOGLE Gaming,5,2023-07-07 13:52:35,"Menurutku itungannya udah bagusss,,"
Lhilys Ulmifatiha,5,2023-07-07 13:52:13,Good
Siti Khodijah,3,2023-07-07 13:51:16,"Ini gimana ya, ko akun Instagram nya jadi gabisa di buka 😭"
Martin EA,1,2023-07-07 13:51:07,ga bisa create akun harus pake akun ig
Radul Channel,5,2023-07-07 13:48:18,Lumayan daripada lumanyun
Ferdi Eko Setyawan,5,2023-07-07 13:45:35,"Aplikasi baguss,"
Melani Damai,4,2023-07-07 13:45:28,Ya bole la
Yudhistira Idrus,5,2023-07-07 13:44:07,Twitter Jaman Now!
Azqia Khaerani Rahayu,5,2023-07-07 13:42:29,"bagus nihh, kurang fitur DM aja😁"
_FckingKids9,5,2023-07-07 13:42:14,nice
LexaLoveNagi,5,2023-07-07 13:42:01,Sangat ramah bintang 5 👍🏾
kang ngendok,1,2023-07-07 13:41:07,Bukan yg ini
Rifky Ramdani,5,2023-07-07 13:40:48,Yg ngebug hp nya upgrade wkwk
Whyy !,5,2023-07-07 13:40:32,best I am very satisfied
Faiz Fawzhan,5,2023-07-07 13:39:58,"Seru juga sih, kek another version of Twt 😍"
David Koswara,5,2023-07-07 13:39:36,"Kanal yang mirip Twiter ini , sich"
Ilham Muhammadgias,1,2023-07-07 13:38:27,"Kok Info Nya Lengkap.... Kaya Alamat Lengkap,apa Yang Personal.... Jadi Curiga Bakalan Jualan Info Pribadi Kaya Facebook kemaren²🗿"
Sahana Dewa,1,2023-07-07 13:37:49,Ngelag
al khansa,1,2023-07-07 13:37:32,baru install layar nge bug ...
Ahmad Arifaldi,5,2023-07-07 13:37:08,pp
Maya Nurkasih,5,2023-07-07 13:36:21,Masih agak lag tapi baguslah okeeee
Ahmad Fadlurrahman,1,2023-07-07 13:36:11,Bug
Dimas Satrio,1,2023-07-07 13:35:51,Bug UI TEXT TIMPA Di HP REDMI 6A
Onahji,4,2023-07-07 13:33:49,"Yang pada komen negatif sabar, mungkin app ini masih dlm proses pengembangan"
gopay 24,5,2023-07-07 13:33:47,good
Zaini Zainiatailah,5,2023-07-07 13:32:43,Bintang 5 soanya akun aku followers nya dikit @Zyaaaaa_33 bantu follow nanti aku follback😁btw apk nya bagus ga eror kok
Raden Arnanda Wijaya,5,2023-07-07 13:31:27,Temne gw beluk makek muwehehehe
Efan n,5,2023-07-07 13:29:34,gw ke brp nih
Samuel Harpa,1,2023-07-07 13:27:53,Ga jelas masi bug layar patah patah
Menggokil,5,2023-07-07 13:26:41,"Widih baru muncul dah rame aja, tapi masih kurang si, fitur translate belum ada"
Dika Putra pratama,5,2023-07-07 13:25:02,Sangat baik 👍🏻
Vnfrl ksm,2,2023-07-07 13:24:32,Bagus ajasih. Mirip twtr pas baru2 launching. Tp blm bikin nyaman krn timeline nya kek tempat sampah. Gak bisa di filter.
Agesti Furnama,4,2023-07-07 13:23:35,"ayo dongggg bisa beberapa akun dalam satu threads, buat saya yang kaum megang akun perusahaan, kan ige saya belum make threads jadinya:))"
MANCAY,5,2023-07-07 13:23:03,Nyoba wkwk
Gloria Gabriella,5,2023-07-07 13:22:40,lucuu sii bagus jg
Joshua putra H.S EK-2D,5,2023-07-07 13:20:51,"Good app , but i don't know what next happen."
Faisal,1,2023-07-07 13:19:58,"Keren ,semoga mereka adu mekanik Twitter dan apk ini ,Rusia SMA OPM sma2 kuat sulit di musnah kan uraaa"
Wn Luck,5,2023-07-07 13:19:34,I love it
Hbiy Hbiy,2,2023-07-07 13:19:19,"Bintang 2 dlu soalnya ga bisa nyimpan foto, tolong dong kasih vitur buat bisa nyimpan foto biar ga ribet nyalin linktrus download di google."
Nahdo Id,5,2023-07-07 13:18:20,bagus
Trachita Christiareni,3,2023-07-07 13:18:20,"Boleh gak sih, home di thread bener bener akun yang emang kita follow?? Bukan random akun yg boro boro difollow di IG??"
Saska RF,2,2023-07-07 13:16:34,"Aku menemukan 2 bug. Yang pertama saat unggah threads dengan lampiran foto resolusi tinggi, threads tidak terunggah padahal koneksi data unggahnya berjalan, dan itu dibarengi dengan aplikasi lag bahkan sampai forceclose. Dan yang kedua saat copy teks selain huruf alphabet (seperti huruf arab, Thailand, aksara jawa), aplikasi akan mengalami lag hingga kemudian forceclose. Untuk pengembang, tolong optimalkan lagi karena beberapa apl META mempunyai masalah sama terhadap kompresi media foto & video."
Mirza Fauzan,3,2023-07-07 13:14:54,bintang 3 dulu. kalo mau upload foto aplikasinya keluar keluar sendiri
Dimas AR,5,2023-07-07 13:14:09,Tolong tambahin topik trending kek Twitter
Jimly Asshidiqie,5,2023-07-07 13:13:54,Aplikasikanya mantap
Ini Intan,5,2023-07-07 13:13:33,👍👍
Kaston Sukardi,5,2023-07-07 13:12:42,"SEJAUH INI, INI YANG PALING JAUH"
andhika bagus solikhin,2,2023-07-07 13:12:22,Kenapa di redmi 8 enggak suport
Leon Déxlyn.,5,2023-07-07 13:12:02,Good
Hamidah .w.,3,2023-07-07 13:11:09,I can't post pictures or video
Hauna Calistia,4,2023-07-07 13:10:59,Dev tolong perbaikin lagi ya masa pas saya buka kok tulisannya itu gimana ya kayak ngefrezee sama ngikut gitu Dev aku gatau knp katanya ini juga apps barunya ig eh tau tau punya ku lag:)
Rhea Thanasia,2,2023-07-07 13:10:41,"Everytime I wanted to post, it always force closing. Please fix, thanks."
Gita Nakamoto,1,2023-07-07 13:10:29,"kenapa saat saya ingin melihat orang yang saya ikuti malah tidak bisa, tolong diperbaiki untuk kedepannya"
Rachma Haya,3,2023-07-07 13:08:32,"halo threads team mau kasih saran nih buat apk nya, kasih fitur download foto dan video doong terimakasih threads team"
Riky Vp,1,2023-07-07 13:08:15,"masi kedip"" gajelas"
IKRAM OFFICIAL,5,2023-07-07 13:05:21,Ok
delta pramudya,1,2023-07-07 13:03:41,Eror gk bisa di scroll Pada numpuk2
Said Abdullah,5,2023-07-07 13:02:53,"gass lah, lumayan para buzzer pada bingung"
Ubaidillah Sajad Ashobry,4,2023-07-07 13:02:35,Lumayan sih tapi gak ad mode gelap
hendi hendiariqin,2,2023-07-07 13:02:02,Bagus mirip twiter
Dian Fonda,5,2023-07-07 13:01:13,Juki jabingan gawe sosmed men gaji admin sosial media munggah
Alva 18,1,2023-07-07 13:00:41,Sinkornasi gagal
Ibnu Fadil,2,2023-07-07 12:59:27,Bug parah
Rheynaldy Rama,1,2023-07-07 12:58:23,Bug screen
M Rochim,3,2023-07-07 12:57:46,masi berantakan bgt
Anugerah rah,5,2023-07-07 12:56:35,Wow amazing 🤩🤩
Dark Aries,5,2023-07-07 12:55:56,"Bagus bgt, mudah2an gk pelit kyk sebelah.."
Syahputra,1,2023-07-07 12:55:26,Bug nya gg skroll dikit langsung banyak tampilan errornya
Rifqi Afriyanto,5,2023-07-07 12:55:14,Lumayan bagus tapi jangan seperti Twitter ya
arrdu alf13,5,2023-07-07 12:54:58,Keren
Andri Ansyah,3,2023-07-07 12:54:00,kren sih cuman agak lemot
AndreAhady,3,2023-07-07 12:53:49,"please, don't mix Instagram accounts with thread accounts, because most of us don't want to be known on other social media, if our username is the same as our Instagram account it will be easily found by other people"
Radika 2,1,2023-07-07 12:52:27,jangan download entar nyesel
ra,5,2023-07-07 12:52:17,yu brik my heat brik my hope
Ai Aprilia04,4,2023-07-07 12:50:56,"Not bad sejauh ini, bug wajar sih mungkin karena baru launching.. kedepannya perbaiki aja min, good job"
Agus Tofa,2,2023-07-07 12:48:38,Masih bug... Aplikasi threads error... Stlah kata sandi IG diganti....
Fawwas,5,2023-07-07 12:47:31,oksi
Danny Prasetyo,5,2023-07-07 12:47:08,Yang ngebug atau lain2. Hp kurang canggih wkwk
Denis Bayu permana,1,2023-07-07 12:46:02,"please update when you enter the app, it overwrites the Ui, please fix it🙏"
Keyla Rosdiana Putri,1,2023-07-07 12:45:34,Igg guaa balikinnn bangg kenapaa jdii gini igg guaa
Babul Barokah,5,2023-07-07 12:45:33,Bagus. tapi kok punyaku ngebug yah. Tolong dong bantu
Sri putriani,1,2023-07-07 12:45:21,bug parah
Ngakan Made Dwipa Krisnanda,4,2023-07-07 12:43:51,"the Twitter has a translator system from English to the language we want, I want that feature in this Threads"
Stepanus Berhandus,5,2023-07-07 12:43:17,Good
SewaTenda Flores,4,2023-07-07 12:42:46,"Walaupun mau digugat sama twitter, gass teruss"
Syakira Dwinova,3,2023-07-07 12:41:37,Threads punya saya kenapa tidak bisa upload warna terang ya?
IBNU .A.A,5,2023-07-07 12:41:06,"Who is better, Elon or mark"
Betto Koridama,5,2023-07-07 12:41:02,Gooid
sari saputri,1,2023-07-07 12:40:27,Tolong di perbaiki apknya. Id di bio instagram masa ga bisa dikembalikan
Aprilia rizqiLF,1,2023-07-07 12:40:26,Bakal lebih bagus lagi tanpa mencantumkan lencana di bio si meskipun bisa disembunyikan/hapus . Menganggu bgt :( nyesel. Udah gausah rilis .
Galih Setiawan,5,2023-07-07 12:38:00,Aku pengguna ke 22593
MOCHAMMAD ARIQ ATILLAH,5,2023-07-07 12:37:48,Best apps ever.
Akmal Jaya,3,2023-07-07 12:37:46,"Kurang lengkap ""penerjemah ""belum muncul."
Hikaru Devan,1,2023-07-07 12:36:23,banyak bug
Andra,5,2023-07-07 12:35:57,Kalau bisa ada fitur insight seperti di Instagram
Lil Ditz,1,2023-07-07 12:35:51,Tolong Mark zuckerberg bug nya
Lutfi Ardiansyah,1,2023-07-07 12:33:31,Bugggggg
ichal ichal yuli,5,2023-07-07 12:33:20,The best
Tari fantika,2,2023-07-07 12:31:58,"kenapa ya?kalau saya buka threads ig saya ke logout sendiri,trs kalau saya login lagi saya ga bisa buka threads"
Muhammad Rozali,4,2023-07-07 12:29:44,Segini dulu aja
Rendi Nurcahya,5,2023-07-07 12:29:21,"Mantap, inovasi baru dari meta mwehehe"
Jefta & Mesakh,2,2023-07-07 12:27:55,kenapa pada saat ingin meng-upload foto malah keluar dari aplikasi?
Tasya Ceisar,2,2023-07-07 12:25:29,"bug nya kebangetan banget, banyak yang tumpang tindih, tolong di perbaiki lagi!"
Ferdi Fernando p Edo,5,2023-07-07 12:23:28,Godd
Afif Pratama,4,2023-07-07 12:23:21,I want the feature to download pictures like on Facebook
Wildan Anwar,5,2023-07-07 12:21:55,"Bagus kek twitter, yg komen bug atau yg lain hal mungkin sinyal atau hp lu pada (mungkin)"
Pendy Saputra,5,2023-07-07 12:21:50,"Bagus kok bug"" apanya"
Dewa Swandana,5,2023-07-07 12:20:42,Mantapppp
MUHAMMAD IQBAL NUR MAULIDI (MINM),5,2023-07-07 12:19:19,Tambah fitur terjemahan teks
MFR Chanel,1,2023-07-07 12:17:53,"Yokoso,byk bug"
013_Servan Wilyandi,2,2023-07-07 12:13:19,Logout Mulu kalo disambungin ke ig
Idris Akbar,5,2023-07-07 12:12:53,"Bagus aja, semoga ditambahin lagi fitur cakepnya. Saingan Twitter"
David Webb,5,2023-07-07 12:12:27,"Tolong diperbaiki, tampilan patah patah dan ada bug"
Fthnzahrani11,1,2023-07-07 12:09:36,gaada tema buat ganti ke gelap
Kim Cen,5,2023-07-07 12:07:35,Mutulan dulu kali @ardipocen
mardinata 27,1,2023-07-07 12:05:36,Ko ig sya jadi nggak bisa dibuka setelah pake apk ini
Aqrent.,4,2023-07-07 12:05:04,"Awalnya bikin bingung, tolong tambahin fitur translate. Semoga kedepannya lebih baik ya & Terima kasih🥰"
Irwan Syahputra,5,2023-07-07 12:04:33,mau jadi yg pertama disini aja soalanya klo di threads duluan mark
Shiva Feby,2,2023-07-07 12:04:23,Ini gabisa pake 2 akun kahhhh 😭😭😭
M.Taufik Syahbana,2,2023-07-07 12:03:53,So many bug
vitrie shine,1,2023-07-07 12:02:50,Kenapa tampilan nya pecah pecah
Praja Wardana,5,2023-07-07 12:01:29,Bagus
Fariid Animation,5,2023-07-07 12:01:16,"Thank You, Buat Yang Bikin Aplikasi Ini!"
barbershopporis Rr320,1,2023-07-07 11:58:57,Id Thread tidak muncul di Bio. Mohon segera diatasi
Bhuta Bhuts,5,2023-07-07 11:57:49,Gok gok
GEN LANGKA,5,2023-07-07 11:56:47,Nitip
Kee Nan,2,2023-07-07 11:55:50,"Andai saja kasih ""Story"", rame ni aplikasi"
KASS,5,2023-07-07 11:55:14,Waduh om ini apk bagus om lanjutkan persaingannya om saya suka nih yang begini begini kalo hidup gaada masalah ya cari masalah sendiri
Rizki Ar,3,2023-07-07 11:53:54,Saran Untuk Menambahkan Fitur Di Dalam Aplikasi Threads Yaitu Fitur Beralih Akun Secara Manual Di Aplikasi Threads Tanpa Harus Ke Instagram
Amir salim,1,2023-07-07 11:52:15,Aplikasi gak bisa scroll masih lelet numpuk² gitu? Gimana sih tolong di perbaiki.thanks!
